DATE,CPALTT01USQ657N
1960-01-01,0.33889187876944250000
1961-01-01,0.16762970538978250000
1962-01-01,0.33174063144988800000
1963-01-01,0.35459956469918100000
1964-01-01,0.26925349403710475000
1965-01-01,0.45165964663306825000
1966-01-01,0.90682942281076700000
1967-01-01,0.67754264191875500000
1968-01-01,1.16307482906673250000
1969-01-01,1.4512815518879675
1970-01-01,1.3717110784570675
1971-01-01,0.85215031755521525000
1972-01-01,0.86349413541967175000
1973-01-01,2.0036272426535800
1974-01-01,2.9197701969386975
1975-01-01,1.7652876537808075
1976-01-01,1.24420158562072825000
1977-01-01,1.6127705009633025
1978-01-01,2.1651768353707025
1979-01-01,3.0258784100279675
1980-01-01,3.0244536103690325
1981-01-01,2.3073669178045900
1982-01-01,1.11282142720565050000
1983-01-01,0.81675321802992117500
1984-01-01,1.00625445737460075000
1985-01-01,0.86735695768950100000
1986-01-01,0.32021257767321875000
1987-01-01,1.10634710329837875000
1988-01-01,1.05972554687835000000
1989-01-01,1.13076525982064650000
1990-01-01,1.5212619209700625
1991-01-01,0.73973354457917400000
1992-01-01,0.75396960987105000000
1993-01-01,0.67452466440799150000
1994-01-01,0.65677016118172125000
1995-01-01,0.65644016297751675000
1996-01-01,0.78831500477256100000
1997-01-01,0.46475141275744275000
1998-01-01,0.38489634782364825000
1999-01-01,0.64948771242175425000
2000-01-01,0.84618125548138625000
2001-01-01,0.46281983720721700000
2002-01-01,0.54602990374607250000
2003-01-01,0.47108417921690642500
2004-01-01,0.82127501046243725000
2005-01-01,0.92279343554489100000
2006-01-01,0.48490672914488900000
2007-01-01,0.98091068504452425000
2008-01-01,0.41666105374048250000
2009-01-01,0.36073245813363050000
2010-01-01,0.31616350609446687500
2011-01-01,0.81614887028141350000
2012-01-01,0.46963475289523310000
2013-01-01,0.30755554570876725000
2014-01-01,0.31335360781658125000
2015-01-01,0.11880758218587450000
2016-01-01,0.44806019014768600000
2017-01-01,0.52537499909438650000
2018-01-01,0.54724169453441212500
2019-01-01,.
