"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"344","CHARLTON ","GA ",1,1,"PFFS ",1605,19,0.0118380062305296
"345","CHATHAM ","GA ",5,4,"PFFS ",35181,1045,0.0297035331571018
"346","CHATTAHOOCHEE ","GA ",1,1,"PFFS ",465,16,0.0344086021505376
"347","CHATTOOGA ","GA ",0,0,"PFFS ",4875,0,0
"348","CLAYTON ","GA ",9,4,"PPO ",24963,1801,0.0721467772303008
"349","CLINCH ","GA ",0,0,"PFFS ",1123,0,0
"350","COBB ","GA ",7,2,"HCPP ",64964,3038,0.0467643618003818
"351","COLQUITT ","GA ",1,0,"PFFS ",6754,18,0.0026650873556411
"352","COOK ","GA ",28,5,"PFFS ",2605,39892,15.3136276391555
"353","COWETA ","GA ",3,2,"PPO ",12007,558,0.046472890813692
"354","CRISP ","GA ",1,1,"PFFS ",3730,20,0.00536193029490617
"355","DADE ","GA ",1,1,"PFFS ",2800,158,0.0564285714285714
"356","DAWSON ","GA ",5,3,"PFFS ",2664,127,0.0476726726726727
"357","DECATUR ","GA ",3,2,"PFFS ",4604,159,0.0345351867940921
"358","DEKALB ","GA ",11,5,"PPO ",65121,4658,0.0715283856206139
"359","DODGE ","GA ",9,5,"HMO ",3300,1108,0.335757575757576
"360","DOOLY ","GA ",0,0,"HCPP ",1798,0,0
"361","DOUGHERTY ","GA ",1,1,"PFFS ",15194,467,0.0307358167697775
"362","EARLY ","GA ",1,1,"PFFS ",2092,40,0.0191204588910134
"363","EFFINGHAM ","GA ",3,1,"PFFS ",4433,87,0.019625535754568
"364","EMANUEL ","GA ",1,1,"PFFS ",4096,33,0.008056640625
"365","EVANS ","GA ",1,1,"PFFS ",1807,14,0.00774764803541782
"366","FANNIN ","GA ",2,1,"PFFS ",5034,43,0.00854191497814859
"367","FLOYD ","GA ",8,2,"PPO ",16347,1161,0.0710222059093412
"368","FORSYTH ","GA ",9,4,"HMO ",9564,17171,1.79537850271853
"369","GILMER ","GA ",3,2,"PFFS ",4737,53,0.0111885159383576
"370","GLYNN ","GA ",1,0,"PFFS ",12413,58,0.00467252074438089
"371","GORDON ","GA ",1,0,"PFFS ",7187,22,0.00306108251008766
"372","GRADY ","GA ",3,2,"PFFS ",3680,135,0.0366847826086957
"373","GWINNETT ","GA ",7,2,"HMO ",45007,3065,0.0681005176972471
"374","HABERSHAM ","GA ",2,1,"PFFS ",6818,60,0.00880023467292461
"375","HALL ","GA ",7,5,"PFFS ",19691,801,0.0406784825554822
"376","HANCOCK ","GA ",11,7,"PPO ",1625,1637,1.00738461538462
"377","HARALSON ","GA ",1,1,"PFFS ",4859,59,0.0121424161350072
"378","HARRIS ","GA ",20,4,"PFFS ",3306,43724,13.2256503327284
"379","HART ","GA ",1,1,"PFFS ",3759,20,0.00532056397978186
"380","HEARD ","GA ",1,1,"PFFS ",1340,26,0.0194029850746269
"381","IRWIN ","GA ",0,0,"PFFS ",1383,0,0
"382","JASPER ","GA ",9,6,"PFFS ",1633,663,0.406001224739743
"383","JEFF DAVIS ","GA ",1,1,"PFFS ",2245,15,0.0066815144766147
"384","JENKINS ","GA ",0,0,"HCPP ",1465,0,0
"385","JONES ","GA ",9,6,"PPO ",2296,412,0.179442508710801
"386","LANIER ","GA ",0,0,"PFFS ",971,0,0
"387","LAURENS ","GA ",3,2,"PFFS ",8126,635,0.0781442284026581
"388","LONG ","GA ",0,0,"PFFS ",783,0,0
"389","LUMPKIN ","GA ",2,1,"PFFS ",2898,38,0.0131124913733609
"390","MCDUFFIE ","GA ",1,0,"PFFS ",3352,15,0.00447494033412888
"391","MCINTOSH ","GA ",0,0,"PFFS ",1985,0,0
"392","MERIWETHER ","GA ",2,1,"PFFS ",3625,145,0.04
"393","MITCHELL ","GA ",2,2,"PFFS ",3568,281,0.0787556053811659
"394","MURRAY ","GA ",2,1,"PFFS ",4680,40,0.00854700854700855
"395","MUSCOGEE ","GA ",4,1,"PFFS ",27544,644,0.0233807725820505
"396","OCONEE ","GA ",3,3,"PFFS ",3202,719,0.224547158026234
"397","OGLETHORPE ","GA ",0,0,"HMO ",1285,0,0
"398","PAULDING ","GA ",4,2,"PFFS ",6714,269,0.0400655347036044
"399","PEACH ","GA ",1,1,"PFFS ",4463,55,0.0123235491821645
"400","PIERCE ","GA ",17,7,"PFFS ",3073,13608,4.42824601366743
"401","QUITMAN ","GA ",1,1,"PFFS ",398,12,0.0301507537688442
"402","RABUN ","GA ",1,0,"PFFS ",3270,11,0.00336391437308868
"403","RICHMOND ","GA ",19,10,"PFFS ",28746,23378,0.813260975440061
"404","ROCKDALE ","GA ",3,2,"PPO ",8724,234,0.0268225584594223
"405","SCHLEY ","GA ",0,0,"HCPP ",535,0,0
"406","SCREVEN ","GA ",0,0,"PFFS ",2585,0,0
"407","SPALDING ","GA ",3,1,"PPO ",9754,131,0.0134303875333197
"408","STEPHENS ","GA ",2,1,"PFFS ",5900,37,0.00627118644067797
"409","STEWART ","GA ",2,2,"PFFS ",979,67,0.0684371807967314
"410","TALBOT ","GA ",1,1,"PFFS ",1158,64,0.0552677029360967
"411","TALIAFERRO ","GA ",0,0,"PFFS ",407,0,0
"412","TATTNALL ","GA ",0,0,"HMO ",3546,0,0
"413","TELFAIR ","GA ",0,0,"HMO ",2408,0,0
"414","TERRELL ","GA ",1,1,"PFFS ",1793,63,0.0351366424986057
"415","THOMAS ","GA ",1,1,"PFFS ",8834,193,0.0218474077428119
"416","TIFT ","GA ",1,0,"PFFS ",6253,19,0.00303854150007996
"417","TOOMBS ","GA ",1,0,"PFFS ",4845,15,0.00309597523219814
"418","TOWNS ","GA ",0,0,"HCPP ",3047,0,0
"419","TREUTLEN ","GA ",0,0,"PFFS ",1119,0,0
"420","TROUP ","GA ",2,1,"PFFS ",10003,325,0.0324902529241228
"421","TURNER ","GA ",1,1,"HMO ",1699,20,0.0117716303708064
"422","TWIGGS ","GA ",1,1,"PFFS ",1571,19,0.0120942075111394
"423","UPSON ","GA ",2,2,"PPO ",4724,306,0.0647756138865368
"424","WARE ","GA ",1,0,"PFFS ",7524,36,0.00478468899521531
"425","WARREN ","GA ",36,19,"PFFS ",1096,8092,7.38321167883212
"426","WAYNE ","GA ",28,12,"PFFS ",4431,18848,4.25366734371474
"427","WEBSTER ","GA ",10,7,"PFFS ",314,1746,5.56050955414013
"428","WHEELER ","GA ",1,1,"PFFS ",946,84,0.0887949260042283
"429","WHITFIELD ","GA ",2,0,"PFFS ",12731,38,0.00298484015395491
"430","WILKES ","GA ",5,2,"PFFS ",2374,1979,0.833614153327717
"431","WILKINSON ","GA ",1,1,"HMO ",2006,31,0.0154536390827517
"432","WORTH ","GA ",1,1,"PFFS ",2884,21,0.00728155339805825
"433","GUAM ","GU ",0,0,"HMO ",11770,0,0
"434","HAWAII ","HI ",4,2,"HMO ",25421,7132,0.280555446284568
"435","HONOLULU ","HI ",8,3,"HMO ",136871,44256,0.323340956082735
"436","KAUAI ","HI ",2,2,"COST ",9496,2823,0.297283066554339
"437","MAUI ","HI ",4,2,"HMO ",17437,6973,0.399896771233584
"438","ADAIR ","IA ",2,2,"PFFS ",1589,64,0.0402769037130271
"439","ALLAMAKEE ","IA ",2,1,"COST ",2940,45,0.0153061224489796
"440","APPANOOSE ","IA ",2,2,"COST ",3134,65,0.0207402680280791
"441","AUDUBON ","IA ",1,1,"PFFS ",1501,14,0.00932711525649567
"442","BLACK HAWK ","IA ",5,2,"HCPP ",21051,4223,0.200608047123652
"443","BREMER ","IA ",2,2,"COST ",4481,472,0.105333630885963
"444","BUCHANAN ","IA ",5,3,"HCPP ",3636,891,0.245049504950495
"445","BUENA VISTA ","IA ",0,0,"PFFS ",3567,0,0
"446","CEDAR ","IA ",6,6,"PFFS ",2961,444,0.149949341438703
"447","CERRO GORDO ","IA ",0,0,"PFFS ",9337,0,0
"448","CHICKASAW ","IA ",2,1,"COST ",2570,77,0.0299610894941634
"449","DAVIS ","IA ",9,7,"COST ",1534,1948,1.26988265971317
"450","DES MOINES ","IA ",1,1,"PFFS ",7989,146,0.0182751283014144
"451","DICKINSON ","IA ",2,1,"HMO ",3943,52,0.0131879279736241
"452","DUBUQUE ","IA ",4,2,"COST ",16055,5355,0.333540952974151
"453","EMMET ","IA ",1,1,"PFFS ",2243,46,0.0205082478823005
"454","GUTHRIE ","IA ",4,4,"PFFS ",2495,126,0.050501002004008
"455","IDA ","IA ",1,1,"PFFS ",1644,31,0.0188564476885645
"456","IOWA ","IA ",7,5,"PFFS ",2957,213,0.0720324653364897
"457","KEOKUK ","IA ",3,3,"COST ",2531,97,0.0383247728170684
"458","KOSSUTH ","IA ",1,0,"PFFS ",3649,14,0.00383666758015895
"459","LINN ","IA ",15,9,"PFFS ",29812,9821,0.329431101569838
"460","LOUISA ","IA ",3,2,"PFFS ",1939,83,0.0428055698813822
"461","LUCAS ","IA ",5,2,"COST ",1996,13077,6.55160320641283
"462","LYON ","IA ",10,6,"PFFS ",2125,1260,0.592941176470588
"463","MAHASKA ","IA ",3,3,"COST ",3991,146,0.0365823101979454
"464","MILLS ","IA ",1,1,"PFFS ",2480,284,0.114516129032258
"465","MONONA ","IA ",0,0,"HMO ",2330,0,0
"466","MUSCATINE ","IA ",4,3,"PFFS ",6651,343,0.0515711923019095
"467","OBRIEN ","IA ",1,1,"PFFS ",3490,31,0.00888252148997135
"468","PAGE ","IA ",2,1,"HMO ",3644,53,0.0145444566410538
"469","PALO ALTO ","IA ",0,0,"HMO ",2273,0,0
"470","PLYMOUTH ","IA ",8,3,"PFFS ",4273,7751,1.81394804586941
"471","POCAHONTAS ","IA ",1,1,"PFFS ",2043,19,0.00930004894762604
"472","POTTAWATTAMIE ","IA ",5,3,"HCPP ",14973,2638,0.176183797502171
"473","POWESHIEK ","IA ",2,1,"COST ",3681,41,0.0111382776419451
"474","RINGGOLD ","IA ",0,0,"PFFS ",1258,0,0
"475","SAC ","IA ",0,0,"PFFS ",2614,0,0
"476","SIOUX ","IA ",1,1,"PFFS ",5224,36,0.00689127105666156
"477","STORY ","IA ",3,2,"PFFS ",9648,188,0.019485903814262
"478","TAMA ","IA ",4,4,"PFFS ",3634,248,0.0682443588332416
"479","WAPELLO ","IA ",2,2,"COST ",7498,913,0.121765804214457
"480","WINNESHIEK ","IA ",1,0,"COST ",3621,13,0.0035901684617509
"481","WOODBURY ","IA ",3,1,"PFFS ",16345,655,0.0400734169470786
"482","WRIGHT ","IA ",12,7,"PFFS ",3160,2351,0.743987341772152
"483","ADA ","ID ",10,3,"HMO ",39898,8203,0.205599278159306
"484","BANNOCK ","ID ",5,2,"PPO ",10139,949,0.0935989742578164
"485","BEAR LAKE ","ID ",1,1,"HCPP ",1151,51,0.0443092962641182
"486","BENEWAH ","ID ",2,2,"COST ",1891,128,0.0676890534108937
"487","BINGHAM ","ID ",2,1,"HCPP ",5612,76,0.0135424091233072
"488","BLAINE ","ID ",0,0,"HMO ",2041,0,0
"489","BOISE ","ID ",1,1,"HMO ",854,202,0.236533957845433
"490","BONNER ","ID ",3,3,"COST ",6728,603,0.0896254458977408
"491","BONNEVILLE ","ID ",2,0,"HCPP ",11878,72,0.00606162653645395
"492","BOUNDARY ","ID ",2,2,"COST ",1902,169,0.0888538380651945
"493","CANYON ","ID ",8,4,"HMO ",20809,5347,0.256956124753712
"494","CARIBOU ","ID ",0,0,"HMO ",1197,0,0
"495","CASSIA ","ID ",1,1,"PFFS ",3116,23,0.00738125802310655
"496","CLEARWATER ","ID ",5,5,"COST ",1944,326,0.167695473251029
"497","GEM ","ID ",3,3,"COST ",3058,616,0.201438848920863
"498","GOODING ","ID ",1,1,"PFFS ",2376,21,0.00883838383838384
"499","IDAHO ","ID ",2,2,"COST ",3065,272,0.0887438825448613
"500","JEROME ","ID ",2,2,"PFFS ",2616,63,0.0240825688073395
"501","KOOTENAI ","ID ",7,4,"HMO ",20758,2292,0.110415261585895
"502","LATAH ","ID ",2,2,"COST ",4086,226,0.0553108174253549
"503","LEMHI ","ID ",0,0,"HMO ",1731,0,0
"504","LEWIS ","ID ",11,8,"COST ",1460,2445,1.67465753424658
"505","MINIDOKA ","ID ",2,1,"HCPP ",3190,30,0.00940438871473354
"506","NEZ PERCE ","ID ",3,3,"PPO ",7892,601,0.0761530663963507
"507","ONEIDA ","ID ",8,6,"PPO ",721,2619,3.63245492371706
"508","OWYHEE ","ID ",2,2,"COST ",1439,297,0.206393328700486
"509","PAYETTE ","ID ",4,3,"COST ",3432,548,0.15967365967366
"510","POWER ","ID ",1,1,"HCPP ",942,21,0.0222929936305732
"511","SHOSHONE ","ID ",2,2,"COST ",3170,226,0.0712933753943218
"512","TETON ","ID ",1,1,"PFFS ",617,64,0.103727714748784
"513","TWIN FALLS ","ID ",3,1,"PFFS ",11409,196,0.0171794197563327
"514","VALLEY ","ID ",2,2,"COST ",1572,55,0.0349872773536896
"515","ALEXANDER ","IL ",5,3,"PFFS ",2015,224,0.111166253101737
"516","BOND ","IL ",0,0,"DEMP ",2985,0,0
"517","BROWN ","IL ",15,11,"PFFS ",946,3572,3.77589852008457
"518","BUREAU ","IL ",2,1,"DEMP ",6859,135,0.0196821694124508
"519","CASS ","IL ",21,13,"PFFS ",2535,3907,1.54122287968442
"520","CHAMPAIGN ","IL ",7,1,"PFFS ",21149,2835,0.13404889120053
"521","CHRISTIAN ","IL ",7,3,"HCPP ",6862,2207,0.321626348003498
"522","CLINTON ","IL ",11,7,"HCPP ",5273,2374,0.450218092167647
"523","COLES ","IL ",3,0,"HCPP ",8119,81,0.00997659810321468
"524","CUMBERLAND ","IL ",23,6,"PFFS ",1893,4567,2.41257263602747
"525","DEWITT ","IL ",3,2,"DEMP ",3082,361,0.117131732641142
"526","DUPAGE ","IL ",8,1,"HMO ",105252,2238,0.0212632539049139
"527","EDGAR ","IL ",2,2,"PFFS ",3827,78,0.0203814998693494
"528","EDWARDS ","IL ",0,0,"PFFS ",1312,0,0
"529","FORD ","IL ",2,2,"HMO ",2698,231,0.0856189770200148
"530","GALLATIN ","IL ",3,1,"COST ",1435,71,0.0494773519163763
"531","GRUNDY ","IL ",7,7,"HCPP ",5979,296,0.0495066064559291
"532","HARDIN ","IL ",8,3,"HCPP ",946,1050,1.10993657505285
"533","HENDERSON ","IL ",10,5,"DEMP ",1455,986,0.67766323024055
"534","IROQUOIS ","IL ",2,1,"HCPP ",6397,156,0.0243864311395967
"535","JERSEY ","IL ",1,0,"HMO ",3273,16,0.00488848151542927
"536","JO DAVIESS ","IL ",3,3,"PFFS ",4791,1159,0.241911918179921
"537","KANE ","IL ",5,2,"HMO ",48630,2299,0.04727534443759
"538","KANKAKEE ","IL ",2,0,"HCPP ",17853,70,0.00392090965103904
"539","KENDALL ","IL ",5,3,"HMO ",5723,944,0.164948453608247
"540","KNOX ","IL ",15,9,"HCPP ",10960,12402,1.13156934306569
"541","LA SALLE ","IL ",3,0,"DEMP ",20749,112,0.00539785049881922
"542","LIVINGSTON ","IL ",15,9,"DEMP ",6396,7347,1.14868667917448
"543","MACOUPIN ","IL ",3,0,"HCPP ",9831,48,0.00488251449496491
"544","MASON ","IL ",6,2,"DEMP ",3425,1857,0.542189781021898
"545","MASSAC ","IL ",0,0,"HCPP ",3155,0,0
"546","MCDONOUGH ","IL ",2,1,"PFFS ",5019,52,0.0103606296074915
"547","MCHENRY ","IL ",3,1,"HMO ",33418,121,0.00362080315997367
"548","MCLEAN ","IL ",7,4,"DEMP ",18545,2066,0.111404691291453
"549","MENARD ","IL ",0,0,"HCPP ",1988,0,0
"550","MERCER ","IL ",19,7,"PFFS ",2980,10780,3.61744966442953
"551","MOULTRIE ","IL ",3,2,"PFFS ",3158,75,0.0237492083597213
"552","OGLE ","IL ",2,2,"PFFS ",8208,303,0.0369152046783626
"553","PEORIA ","IL ",7,3,"HCPP ",30533,3173,0.10392034847542
"554","PIATT ","IL ",3,1,"PFFS ",3209,428,0.133374883141165
"555","RICHLAND ","IL ",11,9,"PFFS ",3506,2410,0.687393040501997
"556","ROCK ISLAND ","IL ",3,2,"COST ",26815,4206,0.156852507924669
"557","SANGAMON ","IL ",5,0,"HCPP ",31296,181,0.00578348670756646
"558","SCHUYLER ","IL ",3,2,"HCPP ",1392,58,0.0416666666666667
"559","STARK ","IL ",11,4,"DEMP ",1318,14911,11.3133535660091
"560","STEPHENSON ","IL ",4,1,"PFFS ",9908,758,0.0765038352846185
"561","TAZEWELL ","IL ",6,4,"HCPP ",23165,2784,0.12018130800777
"562","VERMILION ","IL ",8,2,"HCPP ",16361,2568,0.156958621111179
"563","WABASH ","IL ",2,2,"COST ",2360,342,0.144915254237288
"564","WHITESIDE ","IL ",2,2,"COST ",12030,238,0.0197838736492103
"565","WILL ","IL ",11,0,"HCPP ",58093,537,0.0092437987365087
"566","WILLIAMSON ","IL ",14,5,"HCPP ",11851,7822,0.660028689562062
"567","WINNEBAGO ","IL ",11,8,"PFFS ",45151,7223,0.159974308431707
"568","WOODFORD ","IL ",6,3,"PFFS ",5171,381,0.0736801392380584
"569","ALLEN ","IN ",10,2,"HCPP ",46499,2505,0.0538721262822856
"570","BARTHOLOMEW ","IN ",0,0,"HCPP ",11831,0,0
"571","BLACKFORD ","IN ",0,0,"HCPP ",2625,0,0
"572","DAVIESS ","IN ",3,0,"HCPP ",4693,49,0.0104410824632431
"573","DEARBORN ","IN ",1,0,"PFFS ",7052,12,0.00170164492342598
"574","DELAWARE ","IN ",21,11,"HCPP ",19681,31120,1.58122046643971
"575","DUBOIS ","IN ",2,0,"HCPP ",6354,28,0.00440667296191375
"576","ELKHART ","IN ",4,1,"HCPP ",24965,663,0.0265571800520729
"577","FOUNTAIN ","IN ",1,1,"COST ",3798,111,0.0292259083728278
"578","GIBSON ","IN ",5,2,"HCPP ",5823,515,0.088442383651039
"579","HARRISON ","IN ",12,5,"HMO ",5742,795,0.138453500522466
"580","HENDRICKS ","IN ",3,1,"DEMP ",13601,754,0.0554371002132196
"581","HUNTINGTON ","IN ",2,2,"PFFS ",6764,370,0.0547013601419279
"582","JAY ","IN ",0,0,"HMO ",4118,0,0
"583","JENNINGS ","IN ",0,0,"HCPP ",4178,0,0
"584","KOSCIUSKO ","IN ",2,1,"PFFS ",10876,400,0.0367782272894446
"585","LA PORTE ","IN ",0,0,"HCPP ",17645,0,0
"586","LAGRANGE ","IN ",1,1,"PFFS ",4085,85,0.0208078335373317
"587","MIAMI ","IN ",11,5,"HCPP ",5818,1375,0.236335510484703
"588","NOBLE ","IN ",3,2,"HCPP ",6241,232,0.0371735298830316
"589","OHIO ","IN ",5,4,"HMO ",871,3095,3.55338691159587
"590","OWEN ","IN ",0,0,"HCPP ",3244,0,0
"591","PARKE ","IN ",0,0,"HCPP ",2972,0,0
"592","PORTER ","IN ",0,0,"HCPP ",20359,0,0
"593","POSEY ","IN ",2,1,"PFFS ",3870,263,0.0679586563307494
"594","RIPLEY ","IN ",0,0,"HMO ",5021,0,0
"595","RUSH ","IN ",0,0,"HCPP ",2977,0,0
"596","SPENCER ","IN ",1,1,"COST ",3426,158,0.0461179217746643
"597","ST JOSEPH ","IN ",5,3,"PFFS ",41523,922,0.0222045613274571
"598","STARKE ","IN ",0,0,"HCPP ",4183,0,0
"599","STEUBEN ","IN ",6,3,"PFFS ",5431,562,0.103480022095378
"600","SULLIVAN ","IN ",11,5,"HCPP ",3725,9386,2.51973154362416
"601","SWITZERLAND ","IN ",0,0,"HMO ",1425,0,0
"602","TIPPECANOE ","IN ",2,1,"COST ",17253,2338,0.135512664464151
"603","VANDERBURGH ","IN ",4,1,"HCPP ",31415,2964,0.094349832882381
"604","VERMILLION ","IN ",1,1,"HCPP ",2984,41,0.0137399463806971
"605","VIGO ","IN ",1,0,"HCPP ",17669,50,0.00282981493010357
"606","WARRICK ","IN ",4,2,"HCPP ",7649,554,0.0724277683357302
"607","WELLS ","IN ",3,3,"PFFS ",4170,324,0.0776978417266187
"608","WHITLEY ","IN ",3,3,"PFFS ",5144,399,0.0775660964230171
"609","ANDERSON ","KS ",10,6,"HMO ",1743,3943,2.26219162363741
"610","ATCHISON ","KS ",0,0,"HMO ",2963,0,0
"611","BARBER ","KS ",0,0,"PFFS ",1186,0,0
"612","BARTON ","KS ",1,0,"HCPP ",5416,20,0.00369276218611521
"613","BOURBON ","KS ",0,0,"HCPP ",2993,0,0
"614","CHASE ","KS ",1,1,"HCPP ",561,11,0.0196078431372549
"615","CHAUTAUQUA ","KS ",6,3,"HCPP ",995,5450,5.47738693467337
"616","CLOUD ","KS ",0,0,"HCPP ",2421,0,0
"617","COFFEY ","KS ",0,0,"HMO ",1568,0,0
"618","COMANCHE ","KS ",0,0,"HCPP ",485,0,0
"619","COWLEY ","KS ",2,2,"PFFS ",6171,133,0.0215524226219413
"620","ELK ","KS ",1,1,"HCPP ",793,63,0.0794451450189155
"621","ELLIS ","KS ",3,1,"HCPP ",4433,247,0.0557184750733138
"622","ELLSWORTH ","KS ",0,0,"HMO ",1276,0,0
"623","FINNEY ","KS ",0,0,"PFFS ",3841,0,0
"624","GEARY ","KS ",0,0,"HCPP ",3123,0,0
"625","GOVE ","KS ",0,0,"HCPP ",746,0,0
"626","GRAY ","KS ",0,0,"HCPP ",833,0,0
"627","GREENWOOD ","KS ",1,1,"HCPP ",1826,611,0.33461117196057
"628","HARPER ","KS ",0,0,"HCPP ",1414,0,0
"629","HARVEY ","KS ",2,1,"PFFS ",6379,222,0.0348016930553378
"630","HODGEMAN ","KS ",0,0,"HCPP ",389,0,0
"631","JEWELL ","KS ",0,0,"HMO ",928,0,0
"632","KINGMAN ","KS ",0,0,"HCPP ",1665,0,0
"633","LABETTE ","KS ",0,0,"HMO ",4435,0,0
"634","LANE ","KS ",13,4,"COST ",447,20155,45.089485458613
"635","LEAVENWORTH ","KS ",4,0,"HMO ",7970,68,0.00853199498117942
"636","MCPHERSON ","KS ",0,0,"HMO ",5564,0,0
"637","MORRIS ","KS ",5,2,"PFFS ",1335,3248,2.43295880149813
"638","NEMAHA ","KS ",0,0,"HMO ",2201,0,0
"639","NEOSHO ","KS ",1,1,"HCPP ",3372,42,0.0124555160142349
"640","NESS ","KS ",0,0,"HMO ",884,0,0
"641","NORTON ","KS ",0,0,"HMO ",1172,0,0
"642","OSAGE ","KS ",4,4,"HCPP ",2981,939,0.3149949681315
"643","OSBORNE ","KS ",0,0,"HCPP ",1075,0,0
"644","OTTAWA ","KS ",8,5,"HCPP ",1101,1470,1.33514986376022
"645","PAWNEE ","KS ",2,2,"HMO ",1207,124,0.102734051367026
"646","POTTAWATOMIE ","KS ",2,1,"PFFS ",2663,113,0.0424333458505445
"647","PRATT ","KS ",0,0,"HCPP ",1855,0,0
"648","RAWLINS ","KS ",0,0,"HMO ",738,0,0
"649","RENO ","KS ",1,0,"HCPP ",12059,52,0.00431213201758023
"650","REPUBLIC ","KS ",0,0,"HCPP ",1427,0,0
"651","RICE ","KS ",9,4,"HCPP ",2087,774,0.370867273598467
"652","RILEY ","KS ",0,0,"HMO ",5753,0,0
"653","SHAWNEE ","KS ",2,1,"HCPP ",29554,894,0.0302497123908777
"654","SHERMAN ","KS ",1,1,"HMO ",1304,66,0.0506134969325153
"655","STAFFORD ","KS ",2,0,"HCPP ",1101,44,0.0399636693914623
"656","STEVENS ","KS ",4,4,"HCPP ",790,296,0.374683544303797
"657","SUMNER ","KS ",4,2,"HCPP ",4526,4533,1.0015466195316
"658","TREGO ","KS ",0,0,"HCPP ",744,0,0
"659","WABAUNSEE ","KS ",1,1,"HCPP ",1190,15,0.0126050420168067
"660","WALLACE ","KS ",1,1,"HCPP ",337,12,0.0356083086053412
"661","WICHITA ","KS ",0,0,"HCPP ",404,0,0
"662","WILSON ","KS ",8,5,"HCPP ",2125,2962,1.39388235294118
"663","WOODSON ","KS ",0,0,"PFFS ",924,0,0
"664","WYANDOTTE ","KS ",4,3,"HMO ",21595,3406,0.157721694836768
"665","BALLARD ","KY ",0,0,"HMO ",2092,0,0
"666","BARREN ","KY ",0,0,"HCPP ",7409,0,0
"667","BATH ","KY ",1,1,"HCPP ",2178,13,0.00596877869605142
"668","BELL ","KY ",4,2,"HCPP ",6633,8079,1.21800090456807
"669","BOYD ","KY ",2,1,"HCPP ",10724,157,0.0146400596792242
"670","BOYLE ","KY ",0,0,"HCPP ",5369,0,0
"671","BRACKEN ","KY ",0,0,"HCPP ",1592,0,0
"672","BREATHITT ","KY ",0,0,"HCPP ",3065,0,0
"673","BRECKINRIDGE ","KY ",0,0,"HMO ",3479,0,0
"674","BULLITT ","KY ",3,3,"PPO ",7089,279,0.0393567498942023
"675","CALDWELL ","KY ",7,4,"HCPP ",2846,644,0.226282501756852
"676","CALLOWAY ","KY ",0,0,"HCPP ",6249,0,0
"677","CAMPBELL ","KY ",10,6,"DEMP ",13228,3278,0.247807680677351
"678","CARLISLE ","KY ",0,0,"HCPP ",1169,0,0
"679","CARTER ","KY ",6,5,"HCPP ",4942,1342,0.271549979765277
"680","CASEY ","KY ",0,0,"HCPP ",2828,0,0
"681","EDMONSON ","KY ",0,0,"HCPP ",1840,0,0
"682","ELLIOTT ","KY ",0,0,"HCPP ",1259,0,0
"683","ESTILL ","KY ",0,0,"HCPP ",3358,0,0
"684","FLEMING ","KY ",0,0,"HCPP ",2694,0,0
"685","GARRARD ","KY ",0,0,"HCPP ",2742,0,0
"686","GRAVES ","KY ",1,0,"HCPP ",7847,34,0.00433286606346374
"687","GRAYSON ","KY ",3,1,"PFFS ",5077,48,0.00945440220602718
"688","GREEN ","KY ",2,2,"HMO ",2254,147,0.0652173913043478
"689","GREENUP ","KY ",2,1,"HCPP ",7661,579,0.0755776008354001
"690","HARLAN ","KY ",2,2,"HCPP ",7245,418,0.0576949620427881
"691","HICKMAN ","KY ",4,2,"HCPP ",867,550,0.63437139561707
"692","HOPKINS ","KY ",2,1,"HCPP ",9289,350,0.0376789751318764
"693","JESSAMINE ","KY ",4,3,"HCPP ",5454,111,0.0203520352035204
"694","KENTON ","KY ",5,2,"DEMP ",20709,1452,0.0701144429957989
"695","KNOTT ","KY ",1,1,"HCPP ",2966,169,0.0569790964261632
"696","LARUE ","KY ",0,0,"HCPP ",2492,0,0
"697","LAUREL ","KY ",1,1,"HCPP ",8896,54,0.00607014388489209
"698","LESLIE ","KY ",1,1,"HCPP ",2607,31,0.0118910625239739
"699","LETCHER ","KY ",1,1,"HCPP ",5451,513,0.0941111722619703
"700","MAGOFFIN ","KY ",1,1,"HCPP ",2423,25,0.0103177878662815
"701","MCCRACKEN ","KY ",2,1,"HCPP ",12730,271,0.0212882953652789
"702","MCCREARY ","KY ",1,1,"HCPP ",3233,36,0.0111351685740798
"703","MEADE ","KY ",0,0,"HCPP ",2888,0,0
"704","MENIFEE ","KY ",0,0,"HCPP ",1391,0,0
"705","METCALFE ","KY ",1,1,"PFFS ",2256,85,0.037677304964539
"706","MUHLENBERG ","KY ",2,2,"HCPP ",6474,282,0.0435588507877665
"707","NELSON ","KY ",3,1,"PFFS ",6418,55,0.00856964786537862
"708","NICHOLAS ","KY ",1,1,"PFFS ",1437,464,0.322894919972164
"709","OLDHAM ","KY ",2,2,"PPO ",4634,187,0.0403539059128183
"710","OWSLEY ","KY ",0,0,"PFFS ",1191,0,0
"711","PENDLETON ","KY ",1,1,"HMO ",2126,31,0.0145813734713076
"712","POWELL ","KY ",2,2,"HCPP ",2023,35,0.0173010380622837
"713","ROCKCASTLE ","KY ",0,0,"HCPP ",2947,0,0
"714","ROWAN ","KY ",6,3,"PFFS ",3510,2050,0.584045584045584
"715","SIMPSON ","KY ",1,0,"HCPP ",2783,16,0.00574919151994251
"716","TODD ","KY ",4,3,"HCPP ",1946,682,0.350462487153135
"717","TRIGG ","KY ",0,0,"HCPP ",2970,0,0
