"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"31","CONECUH ","AL ",1,1,"HMO ",2865,272,0.0949389179755672
"32","COOSA ","AL ",1,1,"HMO ",2392,134,0.0560200668896321
"33","COVINGTON ","AL ",0,0,"HMO ",8425,0,0
"34","CRENSHAW ","AL ",1,1,"HMO ",2996,17,0.00567423230974633
"35","CULLMAN ","AL ",2,1,"HCPP ",14850,640,0.0430976430976431
"36","DALE ","AL ",0,0,"HMO ",10774,0,0
"37","DALLAS ","AL ",18,6,"HMO ",9372,28625,3.05431071276142
"38","DE KALB ","AL ",4,1,"HMO ",11741,163,0.0138829741929989
"39","ELMORE ","AL ",7,6,"PPO ",11205,1025,0.0914770191878626
"40","ESCAMBIA ","AL ",5,2,"HMO ",6952,3159,0.454401611047181
"41","ETOWAH ","AL ",3,1,"PPO ",20865,133,0.00637431104720824
"42","FAYETTE ","AL ",27,17,"HCPP ",3535,13992,3.95813295615276
"43","FRANKLIN ","AL ",41,18,"HCPP ",6525,26610,4.07816091954023
"44","GENEVA ","AL ",0,0,"HMO ",5672,0,0
"45","GREENE ","AL ",32,19,"HCPP ",1906,15209,7.97953830010493
"46","HALE ","AL ",0,0,"HCPP ",3513,0,0
"47","HENRY ","AL ",19,10,"PFFS ",3421,2542,0.743057585501315
"48","HOUSTON ","AL ",6,6,"HMO ",13972,345,0.0246922416261094
"49","JACKSON ","AL ",35,22,"HCPP ",10670,31466,2.94901593252109
"50","JEFFERSON ","AL ",78,42,"HCPP ",117060,113388,0.968631471040492
"51","LAMAR ","AL ",4,2,"HMO ",3583,142,0.0396315936366174
"52","LAUDERDALE ","AL ",1,0,"HCPP ",17812,52,0.00291938019312823
"53","LAWRENCE ","AL ",11,9,"HCPP ",5013,8722,1.73987632156393
"54","LEE ","AL ",25,9,"PFFS ",12988,9561,0.736141053279951
"55","LIMESTONE ","AL ",2,0,"HCPP ",9879,24,0.00242939568782265
"56","LOWNDES ","AL ",5,4,"HMO ",1975,417,0.211139240506329
"57","MACON ","AL ",9,4,"HMO ",3898,1408,0.361210877373012
"58","MADISON ","AL ",39,18,"HCPP ",43086,10108,0.234600566309242
"59","MARENGO ","AL ",0,0,"HCPP ",3928,0,0
"60","MARION ","AL ",41,23,"HCPP ",6356,27686,4.35588420390182
"61","MARSHALL ","AL ",22,17,"HCPP ",17198,2500,0.145365740202349
"62","MOBILE ","AL ",7,2,"DEMP ",64016,15302,0.239033991502124
"63","MONROE ","AL ",40,24,"HMO ",4160,64486,15.5014423076923
"64","MONTGOMERY ","AL ",58,18,"PPO ",33936,72191,2.12726897689769
"65","MORGAN ","AL ",12,6,"HMO ",20178,1136,0.056298939438993
"66","PERRY ","AL ",9,8,"HMO ",2128,817,0.383928571428571
"67","PICKENS ","AL ",4,3,"HCPP ",4361,1150,0.263700986012382
"68","PIKE ","AL ",11,6,"HMO ",5433,1876,0.34529725750046
"69","RANDOLPH ","AL ",14,9,"HMO ",4494,4150,0.923453493546951
"70","RUSSELL ","AL ",5,4,"HMO ",9324,720,0.0772200772200772
"71","SAINT CLAIR ","AL ",18,7,"HCPP ",9931,9085,0.914812204209042
"72","SHELBY ","AL ",23,10,"HCPP ",15180,9849,0.648814229249012
"73","SUMTER ","AL ",6,1,"HCPP ",2768,240,0.0867052023121387
"74","TALLADEGA ","AL ",1,1,"HMO ",15674,1887,0.120390455531453
"75","TALLAPOOSA ","AL ",0,0,"HMO ",8283,0,0
"76","TUSCALOOSA ","AL ",6,0,"HCPP ",25499,210,0.00823561708302286
"77","WALKER ","AL ",8,5,"HCPP ",16145,2758,0.170826881387426
"78","WASHINGTON ","AL ",89,53,"HMO ",3320,61958,18.6620481927711
"79","WILCOX ","AL ",1,1,"HMO ",2692,213,0.0791233283803863
"80","WINSTON ","AL ",4,2,"HCPP ",5223,286,0.054757802029485
"81","ARKANSAS ","AR ",0,0,"HCPP ",3965,0,0
"82","ASHLEY ","AR ",0,0,"HMO ",4394,0,0
"83","BAXTER ","AR ",1,0,"PFFS ",12605,38,0.00301467671558905
"84","BENTON ","AR ",25,19,"HMO ",26899,5489,0.204059630469534
"85","BOONE ","AR ",18,10,"PFFS ",8323,2713,0.325964195602547
"86","BRADLEY ","AR ",3,3,"HMO ",2468,1277,0.51742301458671
"87","CARROLL ","AR ",19,11,"PFFS ",5019,2191,0.436541143654114
"88","CHICOT ","AR ",0,0,"HMO ",2727,0,0
"89","CLARK ","AR ",58,14,"PFFS ",4190,94038,22.4434367541766
"90","CLEVELAND ","AR ",6,1,"HMO ",1568,1981,1.26339285714286
"91","COLUMBIA ","AR ",21,11,"HMO ",5095,8306,1.63022571148185
"92","CONWAY ","AR ",0,0,"HMO ",5052,0,0
"93","CRAIGHEAD ","AR ",0,0,"HMO ",13327,0,0
"94","CRAWFORD ","AR ",22,15,"PFFS ",9754,2372,0.243182284191101
"95","CRITTENDEN ","AR ",1,0,"PFFS ",6911,23,0.00332802778179714
"96","CROSS ","AR ",0,0,"HMO ",3261,0,0
"97","DESHA ","AR ",1,0,"HCPP ",2614,12,0.00459066564651875
"98","DREW ","AR ",0,0,"HMO ",2879,0,0
"99","FAULKNER ","AR ",1,0,"HCPP ",12090,45,0.00372208436724566
"100","FULTON ","AR ",18,11,"HMO ",3167,6535,2.06346700347332
"101","GARLAND ","AR ",1,0,"HCPP ",25148,14,0.000556704310481947
"102","GRANT ","AR ",17,10,"HCPP ",2631,3412,1.29684530596731
"103","HEMPSTEAD ","AR ",0,0,"HMO ",3694,0,0
"104","HOT SPRING ","AR ",0,0,"HMO ",5788,0,0
"105","HOWARD ","AR ",7,2,"HMO ",2735,701,0.256307129798903
"106","INDEPENDENCE ","AR ",0,0,"HMO ",6915,0,0
"107","IZARD ","AR ",0,0,"HMO ",3479,0,0
"108","JOHNSON ","AR ",26,16,"HCPP ",4404,12286,2.7897366030881
"109","LITTLE RIVER ","AR ",0,0,"HMO ",2587,0,0
"110","LOGAN ","AR ",10,7,"HCPP ",4846,1605,0.331200990507635
"111","LONOKE ","AR ",1,0,"HCPP ",8176,25,0.00305772994129158
"112","MILLER ","AR ",1,1,"HMO ",7181,43,0.00598802395209581
"113","MISSISSIPPI ","AR ",0,0,"PFFS ",8100,0,0
"114","NEVADA ","AR ",5,4,"HCPP ",1937,1974,1.01910170366546
"115","NEWTON ","AR ",5,2,"HCPP ",1830,341,0.186338797814208
"116","OUACHITA ","AR ",5,0,"PFFS ",6002,131,0.0218260579806731
"117","PHILLIPS ","AR ",3,2,"PFFS ",4565,51,0.0111719605695509
"118","POINSETT ","AR ",0,0,"HCPP ",5027,0,0
"119","POLK ","AR ",53,25,"HCPP ",4512,19752,4.37765957446809
"120","POPE ","AR ",5,5,"HCPP ",9403,244,0.0259491651600553
"121","PRAIRIE ","AR ",0,0,"HCPP ",1778,0,0
"122","PULASKI ","AR ",9,5,"HMO ",57563,670,0.0116394211559509
"123","SAINT FRANCIS ","AR ",1,0,"PFFS ",4775,22,0.00460732984293194
"124","SALINE ","AR ",6,4,"HCPP ",10103,250,0.0247451252103336
"125","SCOTT ","AR ",19,16,"HCPP ",2455,4786,1.94949083503055
"126","SEARCY ","AR ",0,0,"HMO ",2177,0,0
"127","SEBASTIAN ","AR ",6,1,"HCPP ",19394,334,0.0172218211818088
"128","SEVIER ","AR ",6,4,"COST ",2514,2414,0.960222752585521
"129","SHARP ","AR ",1,0,"PFFS ",5158,13,0.00252035672741373
"130","STONE ","AR ",3,1,"HCPP ",3007,636,0.21150648486864
"131","UNION ","AR ",31,20,"HCPP ",9010,8896,0.987347391786903
"132","VAN BUREN ","AR ",5,2,"HCPP ",4313,115,0.0266635752376536
"133","WHITE ","AR ",6,3,"HCPP ",13100,511,0.0390076335877863
"134","WOODRUFF ","AR ",0,0,"HMO ",1739,0,0
"135","YELL ","AR ",0,0,"HMO ",4325,0,0
"136","AMERICAN SOMOA ","AS ",0,0,"HMO ",3259,0,0
"137","APACHE ","AZ ",2,1,"HMO ",8096,64,0.00790513833992095
"138","COCHISE ","AZ ",8,5,"HMO ",22303,2164,0.0970273057436219
"139","COCONINO ","AZ ",4,1,"HMO ",15983,277,0.0173309140962272
"140","GILA ","AZ ",7,4,"HMO ",12673,653,0.0515268681448749
"141","GRAHAM ","AZ ",5,4,"HMO ",4836,380,0.0785773366418528
"142","GREENLEE ","AZ ",1,1,"HMO ",1147,31,0.027027027027027
"143","LA PAZ ","AZ ",5,2,"HMO ",4328,140,0.0323475046210721
"144","MARICOPA ","AZ ",43,6,"HCPP ",436805,152826,0.349872368677098
"145","MOHAVE ","AZ ",19,4,"HMO ",42708,2627,0.0615107239861384
"146","NAVAJO ","AZ ",7,2,"HMO ",14607,482,0.0329978777298555
"147","PIMA ","AZ ",14,4,"HCPP ",149289,51219,0.343086228724153
"148","PINAL ","AZ ",12,4,"HMO ",31920,9856,0.308771929824561
"149","SANTA CRUZ ","AZ ",10,5,"HMO ",5886,5695,0.967550118926266
"150","YAVAPAI ","AZ ",14,1,"HMO ",44858,1993,0.0444290873422801
"151","YUMA ","AZ ",13,2,"HMO ",23200,1501,0.064698275862069
"152","ALAMEDA ","CA ",13,4,"HMO ",170559,63654,0.373208098077498
"153","ALPINE ","CA ",0,0,"HMO ",149,0,0
