countyname,state,countyssa,eligibles,numberofplans1,numberofplans2,totalenrollees,totalpenetration
BOTTINEAU,ND,35040,1549,1,1,51,3.2924467398321497
BURKE,ND,35060,559,0,0,0,0
BURLEIGH,ND,35070,11253,1,0,41,0.36434728516839954
CASS,ND,35080,15232,3,2,328,2.153361344537815
CAVALIER,ND,35090,1098,0,0,0,0
DICKEY,ND,35100,1168,0,0,0,0
DIVIDE,ND,35110,509,0,0,0,0
DUNN,ND,35120,553,0,0,0,0
EDDY,ND,35130,660,0,0,0,0
EMMONS,ND,35140,1064,0,0,0,0
FOSTER,ND,35150,860,0,0,0,0
GOLDEN VALLEY,ND,35160,433,0,0,0,0
GRAND FORKS,ND,35170,7621,2,1,100,1.312163758037003
GRANT,ND,35180,661,0,0,0,0
GRIGGS,ND,35190,632,0,0,0,0
KIDDER,ND,35210,588,0,0,0,0
LAMOURE,ND,35220,1130,0,0,0,0
MCHENRY,ND,35240,1390,1,1,57,4.100719424460432
MCINTOSH,ND,35250,1106,0,0,0,0
MCLEAN,ND,35270,2093,1,1,12,0.5733397037744864
MERCER,ND,35280,1397,0,0,0,0
MORTON,ND,35290,4474,1,0,20,0.4470272686633885
MOUNTRAIL,ND,35300,1247,0,0,0,0
NELSON,ND,35310,1052,0,0,0,0
OLIVER,ND,35320,224,0,0,0,0
PEMBINA,ND,35330,1697,0,0,0,0
PIERCE,ND,35340,1026,1,1,288,28.07017543859649
RAMSEY,ND,35350,2414,0,0,0,0
RANSOM,ND,35360,1168,1,1,17,1.4554794520547945
RICHLAND,ND,35380,2631,2,2,65,2.4705435195743064
ROLETTE,ND,35390,1768,1,1,68,3.8461538461538463
SARGENT,ND,35400,865,0,0,0,0
STARK,ND,35440,4274,0,0,0,0
STEELE,ND,35450,411,0,0,0,0
STUTSMAN,ND,35460,4292,2,2,78,1.8173345759552657
TOWNER,ND,35470,599,0,0,0,0
TRAILL,ND,35480,1613,1,1,18,1.115933044017359
WALSH,ND,35490,2573,1,1,32,1.2436844150796735
WARD,ND,35500,8776,1,0,24,0.27347310847766637
WELLS,ND,35510,1365,1,1,15,1.098901098901099
WILLIAMS,ND,35520,3889,0,0,0,0
ADAMS,NE,28000,5349,2,1,54,1.0095344924284912
ANTELOPE,NE,28010,1404,1,1,13,0.9259259259259259
BLAINE,NE,28040,100,0,0,0,0
