countyname,state,countyssa,eligibles,numberofplans1,numberofplans2,totalenrollees,totalpenetration
DEFIANCE,OH,36200,6588,1,0,14,0.21250758955676988
DELAWARE,OH,36210,11982,4,1,1554,12.969454181271908
ERIE,OH,36220,14798,4,0,97,0.6554939856737397
FAIRFIELD,OH,36230,18044,3,1,2155,11.943028153402793
FAYETTE,OH,36240,4664,2,2,174,3.730703259005146
FRANKLIN,OH,36250,133445,9,3,18525,13.88212372138334
FULTON,OH,36260,7118,2,1,125,1.7561112672098904
GALLIA,OH,36270,6098,1,1,34,0.5575598556903902
GEAUGA,OH,36280,11761,4,2,1161,9.871609557010459
GREENE,OH,36290,16912,6,2,1767,10.448202459791863
GUERNSEY,OH,36300,7817,3,1,84,1.0745810413201995
HAMILTON,OH,36310,134932,12,3,23951,17.7504224350043
HANCOCK,OH,36330,10398,0,0,0,0
HARDIN,OH,36340,4990,0,0,0,0
HARRISON,OH,36350,3402,4,3,364,10.699588477366255
HENRY,OH,36360,4885,2,1,51,1.0440122824974412
HIGHLAND,OH,36370,7030,1,0,11,0.15647226173541964
HOCKING,OH,36380,4537,1,0,13,0.28653295128939826
HOLMES,OH,36390,3293,3,3,444,13.48314606741573
HURON,OH,36400,10622,1,0,11,0.1035586518546413
JACKSON,OH,36410,5730,1,0,11,0.19197207678883071
JEFFERSON,OH,36420,16318,6,4,3450,21.14229685010418
KNOX,OH,36430,9533,1,1,63,0.6608622679114654
LAKE,OH,36440,39108,6,2,5384,13.767004193515394
LAWRENCE,OH,36450,12456,2,1,145,1.1640976236351959
LICKING,OH,36460,22035,4,1,2011,9.126389834354436
LOGAN,OH,36470,7723,0,0,0,0
LORAIN,OH,36480,44281,5,2,4488,10.135272464488155
LUCAS,OH,36490,68881,4,1,13065,18.967494664711605
MADISON,OH,36500,6351,3,3,954,15.02125649504015
MAHONING,OH,36510,50313,5,2,11590,23.035795917556097
MARION,OH,36520,11320,0,0,0,0
MEDINA,OH,36530,21389,6,4,3492,16.326148955070362
MEIGS,OH,36540,4105,0,0,0,0
MERCER,OH,36550,6872,1,0,17,0.24738067520372525
MIAMI,OH,36560,17081,5,1,1140,6.674082313681868
MONROE,OH,36570,2961,3,3,374,12.630867950016887
MONTGOMERY,OH,36580,99375,8,2,15287,15.383144654088051
MORGAN,OH,36590,2451,2,1,33,1.346389228886169
MORROW,OH,36600,4021,1,1,47,1.1688634667993036
MUSKINGUM,OH,36610,16184,3,1,146,0.9021255561047948
NOBLE,OH,36620,1795,1,1,15,0.8356545961002786
OTTAWA,OH,36630,8514,2,1,121,1.421188630490956
PAULDING,OH,36640,3193,0,0,0,0
PERRY,OH,36650,5897,1,1,48,0.813973206715279
PICKAWAY,OH,36660,7471,2,1,804,10.761611564716905
PIKE,OH,36670,4691,0,0,0,0
PORTAGE,OH,36680,20795,6,4,3681,17.701370521760037
PREBLE,OH,36690,6840,3,2,425,6.213450292397661
PUTNAM,OH,36700,5521,0,0,0,0
RICHLAND,OH,36710,23235,1,0,15,0.0645577792123951
ROSS,OH,36720,12439,1,1,435,3.4970656805209424
SANDUSKY,OH,36730,9249,1,1,67,0.7244026381230403
SCIOTO,OH,36740,15569,1,0,12,0.0770762412486351
SENECA,OH,36750,11244,0,0,0,0
SHELBY,OH,36760,6691,2,2,294,4.393962038559259
STARK,OH,36770,70768,10,3,14872,21.01514808953199
SUMMIT,OH,36780,87135,8,5,19320,22.17249096229988
TRUMBULL,OH,36790,40503,4,2,7834,19.341777152309707
TUSCARAWAS,OH,36800,16427,4,2,2293,13.958726486881353
UNION,OH,36810,4409,3,3,521,11.81673848945339
VAN WERT,OH,36820,4580,0,0,0,0
VINTON,OH,36830,2005,0,0,0,0
WARREN,OH,36840,20625,8,2,2925,14.181818181818182
WASHINGTON,OH,36850,12139,0,0,0,0
WAYNE,OH,36860,17911,6,3,1678,9.368544469878845
WILLIAMS,OH,36870,6621,2,1,85,1.2837939888234406
WOOD,OH,36880,16186,2,1,2068,12.776473495613493
WYANDOT,OH,36890,4083,1,1,43,1.053147195689444
ADAIR,OK,37000,3524,1,1,35,0.9931895573212258
ALFALFA,OK,37010,1304,0,0,0,0
ATOKA,OK,37020,2315,1,1,16,0.6911447084233261
BEAVER,OK,37030,947,0,0,0,0
BECKHAM,OK,37040,3184,0,0,0,0
BLAINE,OK,37050,2096,0,0,0,0
BRYAN,OK,37060,7136,0,0,0,0
CADDO,OK,37070,5530,1,0,12,0.21699819168173598
CANADIAN,OK,37080,10831,3,1,1347,12.43652478995476
CARTER,OK,37090,9479,1,1,65,0.6857263424411858
CHEROKEE,OK,37100,6441,1,1,77,1.1954665424623505
CHOCTAW,OK,37110,3473,0,0,0,0
CIMARRON,OK,37120,599,0,0,0,0
CLEVELAND,OK,37130,20653,4,1,1917,9.281944511693217
COAL,OK,37140,1226,0,0,0,0
COMANCHE,OK,37150,14272,0,0,0,0
CRAIG,OK,37170,3506,1,1,56,1.5972618368511124
CREEK,OK,37180,10766,4,3,2929,27.206018948541704
CUSTER,OK,37190,4016,0,0,0,0
DELAWARE,OK,37200,6965,1,1,73,1.0480976310122039
DEWEY,OK,37210,1069,0,0,0,0
ELLIS,OK,37220,915,0,0,0,0
GARFIELD,OK,37230,10691,0,0,0,0
GARVIN,OK,37240,6193,1,0,20,0.3229452607782981
GRADY,OK,37250,6771,1,1,44,0.6498301580268794
GRANT,OK,37260,1078,0,0,0,0
GREER,OK,37270,1359,0,0,0,0
HARMON,OK,37280,618,0,0,0,0
HASKELL,OK,37300,2722,2,1,42,1.5429831006612784
HUGHES,OK,37310,2962,0,0,0,0
JACKSON,OK,37320,3827,0,0,0,0
JEFFERSON,OK,37330,1559,0,0,0,0
JOHNSTON,OK,37340,2117,0,0,0,0
KAY,OK,37350,9465,2,0,47,0.4965662968832541
KINGFISHER,OK,37360,2490,0,0,0,0
KIOWA,OK,37370,2259,0,0,0,0
LATIMER,OK,37380,1569,0,0,0,0
LE FLORE,OK,37390,9368,2,2,126,1.345004269854825
LINCOLN,OK,37400,5276,2,1,79,1.4973464746019711
LOGAN,OK,37410,4211,4,2,86,2.042270244597483
LOVE,OK,37420,1693,0,0,0,0
MAJOR,OK,37460,1525,0,0,0,0
MARSHALL,OK,37470,3093,0,0,0,0
MAYES,OK,37480,6981,3,2,318,4.555221314997851
MCCLAIN,OK,37430,4810,3,1,63,1.3097713097713097
MCCURTAIN,OK,37440,6145,1,1,41,0.6672091131000814
MCINTOSH,OK,37450,5115,0,0,0,0
MURRAY,OK,37490,2512,0,0,0,0
MUSKOGEE,OK,37500,13821,2,1,198,1.4326025613197308
NOBLE,OK,37510,2094,0,0,0,0
NOWATA,OK,37520,2185,1,1,25,1.1441647597254005
OKFUSKEE,OK,37530,2387,1,1,25,1.0473397570171763
OKLAHOMA,OK,37540,101227,5,2,11400,11.261817499283788
OKMULGEE,OK,37550,7226,3,1,199,2.7539440907832824
OSAGE,OK,37560,4066,3,3,862,21.200196753566157
OTTAWA,OK,37570,7575,1,1,55,0.7260726072607261
PAWNEE,OK,37580,3056,2,2,124,4.057591623036649
PAYNE,OK,37590,9082,1,1,107,1.1781545914996696
PITTSBURG,OK,37600,8733,2,1,111,1.2710408794228787
PONTOTOC,OK,37610,6774,0,0,0,0
POTTAWATOMIE,OK,37620,11080,2,1,113,1.01985559566787
PUSHMATAHA,OK,37630,2653,0,0,0,0
ROGER MILLS,OK,37640,719,0,0,0,0
ROGERS,OK,37650,10154,4,2,2620,25.802639353949182
SEMINOLE,OK,37660,5003,1,0,18,0.3597841295222866
SEQUOYAH,OK,37670,7446,2,1,60,0.8058017727639001
STEPHENS,OK,37680,8239,0,0,0,0
TEXAS,OK,37690,2247,0,0,0,0
TILLMAN,OK,37700,1767,0,0,0,0
TULSA,OK,37710,90596,4,2,21119,23.311183716720386
WAGONER,OK,37720,5479,4,3,2126,38.802701222850885
WASHINGTON,OK,37730,10485,3,2,254,2.4225083452551264
WASHITA,OK,37740,2338,0,0,0,0
WOODS,OK,37750,1696,1,1,48,2.830188679245283
WOODWARD,OK,37760,3139,0,0,0,0
BAKER,OR,38000,3857,2,0,30,0.77780658542909
BENTON,OR,38010,9456,6,6,3622,38.303722504230116
CLACKAMAS,OR,38020,48208,17,7,23367,48.47120809824096
CLATSOP,OR,38030,7018,3,2,809,11.52750071245369
COLUMBIA,OR,38040,6980,6,5,2900,41.54727793696275
COOS,OR,38050,15159,3,1,872,5.752358334982518
CROOK,OR,38060,4098,1,1,688,16.78867740361152
CURRY,OR,38070,6780,3,1,472,6.961651917404129
DESCHUTES,OR,38080,22473,8,1,6598,29.359676055711297
DOUGLAS,OR,38090,24020,5,2,4799,19.979184013322232
GILLIAM,OR,38100,445,0,0,0,0
GRANT,OR,38110,1639,1,1,352,21.476510067114095
HARNEY,OR,38120,1463,0,0,0,0
HOOD RIVER,OR,38130,2964,3,2,442,14.912280701754385
JACKSON,OR,38140,37043,6,2,9846,26.579920632778123
JEFFERSON,OR,38150,3422,1,1,864,25.248392752776155
JOSEPHINE,OR,38160,19457,4,3,5709,29.341625122064038
KLAMATH,OR,38170,12158,3,2,599,4.9267971705872675
LAKE,OR,38180,1761,1,1,66,3.7478705281090288
LANE,OR,38190,55996,13,4,20155,35.99364240302879
LINCOLN,OR,38200,10594,10,1,361,3.4075892014347744
LINN,OR,38210,20060,10,6,7481,37.293120638085746
MALHEUR,OR,38220,5104,1,0,16,0.31347962382445144
MARION,OR,38230,44308,12,7,18834,42.506996479191116
MORROW,OR,38240,1471,1,1,30,2.0394289598912305
MULTNOMAH,OR,38250,92176,18,8,38058,41.288404790834925
POLK,OR,38260,11266,11,6,4616,40.97283862950471
SHERMAN,OR,38270,436,1,1,66,15.137614678899082
TILLAMOOK,OR,38280,5790,5,2,877,15.146804835924007
UMATILLA,OR,38290,10588,4,3,411,3.881752927842841
UNION,OR,38300,4540,2,2,171,3.7665198237885464
WALLOWA,OR,38310,1718,0,0,0,0
WASCO,OR,38320,4785,2,2,680,14.211076280041798
WASHINGTON,OR,38330,47300,15,7,21768,46.02114164904862
WHEELER,OR,38340,366,1,1,84,22.950819672131146
YAMHILL,OR,38350,12762,10,5,5130,40.19746121297602
ADAMS,PA,39000,14943,4,0,92,0.6156728903165362
ALLEGHENY,PA,39010,237191,13,4,102707,43.301390019014214
ARMSTRONG,PA,39070,16241,5,5,5642,34.7392401945693
BEAVER,PA,39080,36454,6,4,19579,53.70878367257365
BEDFORD,PA,39100,10053,4,4,3217,32.00039789117676
BERKS,PA,39110,64623,11,1,5946,9.201058446683069
BLAIR,PA,39120,26075,6,4,8174,31.34803451581975
BRADFORD,PA,39130,12204,3,2,178,1.458538184201901
BUCKS,PA,39140,91551,10,4,32140,35.10611571692281
BUTLER,PA,39150,30249,6,4,11261,37.22767694799828
CAMBRIA,PA,39160,33099,6,4,15674,47.354904982023626
CAMERON,PA,39180,1270,1,1,23,1.811023622047244
CARBON,PA,39190,13008,3,1,365,2.8059655596555966
CENTRE,PA,39200,17671,7,2,2206,12.483730405749533
CHESTER,PA,39210,59514,5,3,18200,30.581039755351682
CLARION,PA,39220,7541,3,2,179,2.3736904919771913
CLEARFIELD,PA,39230,16247,4,2,2772,17.061611374407583
CLINTON,PA,39240,7036,3,1,1452,20.636725412166005
COLUMBIA,PA,39250,12824,3,1,4024,31.378665003119153
CRAWFORD,PA,39260,17154,4,1,938,5.46811239361082
CUMBERLAND,PA,39270,38885,8,1,1510,3.883245467403883
DAUPHIN,PA,39280,40811,12,2,4288,10.506971159736345
DELAWARE,PA,39290,89925,10,3,29026,32.27800945232138
ELK,PA,39310,6967,1,1,63,0.9042629539256495
ERIE,PA,39320,47574,8,1,9998,21.01568083406903
FAYETTE,PA,39330,31725,8,5,10860,34.23167848699764
FOREST,PA,39340,1542,0,0,0,0
FRANKLIN,PA,39350,24841,4,0,146,0.5877380137675617
FULTON,PA,39360,2751,0,0,0,0
GREENE,PA,39370,7421,4,4,1994,26.869694111305755
HUNTINGDON,PA,39380,8308,5,2,514,6.1868078960038515
INDIANA,PA,39390,15992,6,4,5521,34.52351175587794
JEFFERSON,PA,39400,9743,4,1,166,1.7037873344965617
JUNIATA,PA,39410,4096,2,2,1047,25.5615234375
LACKAWANNA,PA,39420,44548,5,1,6615,14.849151477058454
LANCASTER,PA,39440,78572,12,1,1215,1.5463523901644352
LAWRENCE,PA,39450,21332,4,4,7671,35.960060003750236
LEBANON,PA,39460,23435,7,1,434,1.8519308726264134
LEHIGH,PA,39470,56577,8,2,5186,9.166268978560192
LUZERNE,PA,39480,67283,5,2,4403,6.544000713404575
LYCOMING,PA,39510,22643,5,1,1328,5.864947224307733
MCKEAN,PA,39520,8899,0,0,0,0
MERCER,PA,39530,25081,6,2,5768,22.997488138431482
MIFFLIN,PA,39540,9235,3,2,2744,29.71304818624797
MONROE,PA,39550,22988,6,2,1735,7.54741604315295
MONTGOMERY,PA,39560,132474,11,4,42844,32.341440584567536
MONTOUR,PA,39580,3778,1,1,1563,41.371095817893064
NORTHAMPTON,PA,39590,49711,6,2,3414,6.867695278710949
NORTHUMBERLAND,PA,39600,20351,4,2,1510,7.4197828116554465
PERRY,PA,39610,6880,3,2,299,4.34593023255814
PHILADELPHIA,PA,39620,229656,14,6,90451,39.38542864109799
PIKE,PA,39630,7879,1,1,48,0.6092143673054956
POTTER,PA,39640,3659,1,1,30,0.8198961464881115
SCHUYLKILL,PA,39650,31958,5,2,3387,10.598285249389825
SNYDER,PA,39670,6423,2,2,1542,24.00747314339094
SOMERSET,PA,39680,16366,5,4,6621,40.45582304778199
SULLIVAN,PA,39690,1612,1,1,15,0.9305210918114144
SUSQUEHANNA,PA,39700,7966,4,0,98,1.2302284710017575
TIOGA,PA,39710,8496,1,0,41,0.4825800376647834
UNION,PA,39720,6753,3,2,1257,18.613949355841847
VENANGO,PA,39730,11728,4,2,359,3.061050477489768
WARREN,PA,39740,8493,1,1,56,0.6593665371482397
WASHINGTON,PA,39750,42418,7,5,18826,44.38210193785657
WAYNE,PA,39760,12679,3,1,133,1.0489786260746115
WESTMORELAND,PA,39770,74670,8,5,34193,45.792152136065354
WYOMING,PA,39790,5257,3,1,906,17.23416397184706
YORK,PA,39800,64163,11,0,750,1.1688979630004832
BRISTOL,RI,41000,9197,3,3,3674,39.94780906817441
KENT,RI,41010,30660,4,2,11427,37.27005870841487
NEWPORT,RI,41020,14897,3,2,2647,17.768678257367256
PROVIDENCE,RI,41030,103171,5,2,35692,34.594992778978586
WASHINGTON,RI,41050,19654,4,3,5207,26.493334690139413
ABBEVILLE,SC,42000,4062,1,1,291,7.163958641063515
AIKEN,SC,42010,24919,2,0,128,0.5136642722420642
ALLENDALE,SC,42020,1686,0,0,0,0
ANDERSON,SC,42030,31307,4,1,2025,6.468201999552815
BAMBERG,SC,42040,2746,0,0,0,0
BARNWELL,SC,42050,3827,0,0,0,0
BEAUFORT,SC,42060,25641,2,0,76,0.2964002964002964
BERKELEY,SC,42070,15271,2,0,49,0.320869622159649
CALHOUN,SC,42080,1915,1,1,68,3.5509138381201044
CHARLESTON,SC,42090,49249,3,0,86,0.17462283498142095
CHEROKEE,SC,42100,8499,2,1,496,5.83598070361219
CHESTER,SC,42110,6047,1,0,14,0.2315197618653878
CHESTERFIELD,SC,42120,7059,0,0,0,0
CLARENDON,SC,42130,5954,1,0,16,0.26872690628149143
COLLETON,SC,42140,6691,1,0,12,0.17934538932894933
DARLINGTON,SC,42150,10795,1,0,15,0.13895321908290875
DILLON,SC,42160,5068,0,0,0,0
DORCHESTER,SC,42170,14468,1,0,37,0.2557367984517556
EDGEFIELD,SC,42180,2777,1,1,16,0.5761613251710479
FAIRFIELD,SC,42190,3941,2,2,270,6.851053032225323
FLORENCE,SC,42200,22071,1,0,21,0.09514747859181731
GEORGETOWN,SC,42210,15208,1,0,18,0.11835875854813256
GREENVILLE,SC,42220,62932,2,1,3110,4.941841988177716
GREENWOOD,SC,42230,12587,1,1,611,4.854214665925161
HAMPTON,SC,42240,4165,0,0,0,0
HORRY,SC,42250,40607,4,0,194,0.47775014160120177
JASPER,SC,42260,2633,0,0,0,0
KERSHAW,SC,42270,9748,1,0,25,0.25646286417726716
LANCASTER,SC,42280,10034,1,0,21,0.20928841937412795
LAURENS,SC,42290,11164,2,1,573,5.132568971694733
LEE,SC,42300,3004,0,0,0,0
LEXINGTON,SC,42310,31241,3,1,1440,4.609327486316059
MARION,SC,42330,6431,0,0,0,0
MARLBORO,SC,42340,5081,0,0,0,0
MCCORMICK,SC,42320,2383,1,1,54,2.2660511959714644
NEWBERRY,SC,42350,6956,1,1,357,5.132259919493962
OCONEE,SC,42360,14963,2,2,675,4.511127447704338
ORANGEBURG,SC,42370,16279,1,0,68,0.4177160759260397
PICKENS,SC,42380,18963,2,2,1096,5.7796762115699
RICHLAND,SC,42390,42516,3,2,2070,4.868755292125318
SALUDA,SC,42400,2612,2,2,162,6.2021439509954055
SPARTANBURG,SC,42410,45975,2,1,2538,5.520391517128874
SUMTER,SC,42420,15881,1,0,55,0.34632579812354386
UNION,SC,42430,6324,2,1,54,0.8538899430740038
WILLIAMSBURG,SC,42440,6100,0,0,0,0
YORK,SC,42450,26098,3,1,182,0.6973714460878229
AURORA,SD,43010,593,0,0,0,0
BEADLE,SD,43020,3653,1,0,15,0.4106214070626882
BON HOMME,SD,43040,1502,0,0,0,0
BROOKINGS,SD,43050,3427,0,0,0,0
BROWN,SD,43060,6653,0,0,0,0
BUTTE,SD,43090,1747,0,0,0,0
CAMPBELL,SD,43100,663,0,0,0,0
CLARK,SD,43120,900,1,1,14,1.5555555555555556
CLAY,SD,43130,1549,0,0,0,0
CODINGTON,SD,43140,4570,1,1,37,0.8096280087527352
CUSTER,SD,43160,1571,0,0,0,0
DAVISON,SD,43170,3629,0,0,0,0
DAY,SD,43180,1437,0,0,0,0
DEUEL,SD,43190,941,0,0,0,0
DOUGLAS,SD,43210,791,0,0,0,0
EDMUNDS,SD,43220,944,0,0,0,0
FALL RIVER,SD,43230,2079,0,0,0,0
FAULK,SD,43240,647,0,0,0,0
GRANT,SD,43250,1613,0,0,0,0
GREGORY,SD,43260,1228,0,0,0,0
HAMLIN,SD,43280,1036,1,1,12,1.1583011583011582
HANSON,SD,43300,844,0,0,0,0
HUTCHINSON,SD,43330,1926,0,0,0,0
HYDE,SD,43340,354,0,0,0,0
JERAULD,SD,43360,576,0,0,0,0
KINGSBURY,SD,43380,1497,0,0,0,0
LAKE,SD,43390,2064,1,1,15,0.7267441860465116
LAWRENCE,SD,43400,4087,0,0,0,0
LINCOLN,SD,43410,2019,1,1,55,2.7241208519068847
LYMAN,SD,43420,578,0,0,0,0
MARSHALL,SD,43450,1000,0,0,0,0
MCCOOK,SD,43430,1116,0,0,0,0
MCPHERSON,SD,43440,522,0,0,0,0
MEADE,SD,43460,3590,0,0,0,0
MINER,SD,43480,635,0,0,0,0
MINNEHAHA,SD,43490,23421,4,1,377,1.6096665385764912
MOODY,SD,43500,924,0,0,0,0
PENNINGTON,SD,43510,14559,1,0,23,0.1579778830963665
POTTER,SD,43530,728,0,0,0,0
ROBERTS,SD,43540,1766,1,1,18,1.0192525481313703
SANBORN,SD,43550,581,0,0,0,0
SHANNON,SD,43560,940,0,0,0,0
SPINK,SD,43570,1705,0,0,0,0
SULLY,SD,43590,243,0,0,0,0
TODD,SD,43600,646,0,0,0,0
TRIPP,SD,43610,1310,0,0,0,0
TURNER,SD,43620,1769,1,1,20,1.1305822498586773
UNION,SD,43630,2242,1,1,13,0.5798394290811775
WALWORTH,SD,43640,866,0,0,0,0
YANKTON,SD,43670,3777,1,0,12,0.3177124702144559
ANDERSON,TN,44000,14425,4,4,1869,12.956672443674178
BEDFORD,TN,44010,6355,2,1,336,5.287175452399685
BENTON,TN,44020,3932,0,0,0,0
BLEDSOE,TN,44030,1771,1,1,49,2.766798418972332
BLOUNT,TN,44040,19991,3,3,3367,16.84257916062228
BRADLEY,TN,44050,15116,3,3,1277,8.44800211696216
CAMPBELL,TN,44060,9233,3,2,980,10.614101592115238
CANNON,TN,44070,2333,1,1,294,12.601800257179598
CARROLL,TN,44080,6819,1,0,18,0.2639683238011439
CARTER,TN,44090,9949,4,4,1261,12.674640667403759
CHEATHAM,TN,44100,4428,3,1,962,21.725383920505873
CHESTER,TN,44110,2336,1,1,15,0.6421232876712328
CLAIBORNE,TN,44120,6947,4,2,764,10.997552900532604
CLAY,TN,44130,1305,0,0,0,0
COCKE,TN,44140,7111,3,2,736,10.350161721276894
COFFEE,TN,44150,10041,2,1,441,4.391992829399462
CROCKETT,TN,44160,2827,0,0,0,0
CUMBERLAND,TN,44170,13352,4,0,103,0.7714200119832235
DAVIDSON,TN,44180,78633,5,2,14915,18.967863365253773
DECATUR,TN,44190,2301,0,0,0,0
DEKALB,TN,44200,3434,3,2,784,22.830518345952242
DICKSON,TN,44210,7242,3,1,1094,15.106324219828776
DYER,TN,44220,6894,1,0,19,0.27560197272991005
FAYETTE,TN,44230,4051,2,1,353,8.713897803011601
FENTRESS,TN,44240,3857,0,0,0,0
FRANKLIN,TN,44250,7293,2,0,34,0.4662004662004662
GIBSON,TN,44260,10256,2,0,22,0.21450858034321374
GILES,TN,44270,5457,2,0,23,0.42147700201575955
GRAINGER,TN,44280,4505,4,4,664,14.739178690344062
GREENE,TN,44290,13904,4,2,1246,8.9614499424626
GRUNDY,TN,44300,3023,3,3,76,2.514058881905392
HAMBLEN,TN,44310,10657,5,2,1045,9.805761471333396
HAMILTON,TN,44320,54589,5,3,3755,6.87867519097254
HANCOCK,TN,44330,1201,3,3,78,6.49458784346378
HARDEMAN,TN,44340,4947,3,0,39,0.7883565797453002
HARDIN,TN,44350,5121,1,0,17,0.33196641280999806
HAWKINS,TN,44360,10644,4,3,2384,22.39759488913942
HAYWOOD,TN,44370,2992,0,0,0,0
HENDERSON,TN,44380,5163,0,0,0,0
HENRY,TN,44390,7175,1,0,16,0.2229965156794425
HICKMAN,TN,44400,3941,4,2,550,13.955848769347881
HOUSTON,TN,44410,1656,1,1,17,1.0265700483091786
HUMPHREYS,TN,44420,3543,1,1,25,0.7056167090036692
JACKSON,TN,44430,1849,0,0,0,0
JEFFERSON,TN,44440,10439,4,2,1106,10.594884567487307
JOHNSON,TN,44450,4116,3,3,343,8.333333333333334
KNOX,TN,44460,63411,5,3,11179,17.62943337906672
LAKE,TN,44470,1326,0,0,0,0
LAUDERDALE,TN,44480,4618,0,0,0,0
LAWRENCE,TN,44490,8718,1,1,48,0.5505849965588437
LEWIS,TN,44500,1909,0,0,0,0
LINCOLN,TN,44510,6119,0,0,0,0
LOUDON,TN,44520,10465,3,3,1456,13.91304347826087
MACON,TN,44550,3284,1,1,411,12.51522533495737
MADISON,TN,44560,14737,3,1,169,1.1467734274275634
MARION,TN,44570,4841,3,3,234,4.833712042966329
MARSHALL,TN,44580,4418,1,1,247,5.590765052059756
MAURY,TN,44590,11961,3,1,413,3.45288855446869
MCMINN,TN,44530,9592,2,2,517,5.389908256880734
MCNAIRY,TN,44540,6085,1,0,12,0.1972062448644207
MEIGS,TN,44600,2144,2,2,99,4.617537313432836
MONROE,TN,44610,7930,2,2,742,9.35687263556116
MONTGOMERY,TN,44620,14823,4,1,950,6.408959050124806
MOORE,TN,44630,641,0,0,0,0
MORGAN,TN,44640,3055,2,2,657,21.50572831423895
OBION,TN,44650,6708,1,1,62,0.9242695289206917
OVERTON,TN,44660,4110,1,0,11,0.26763990267639903
PERRY,TN,44670,1600,0,0,0,0
PICKETT,TN,44680,949,0,0,0,0
POLK,TN,44690,3672,1,1,24,0.6535947712418301
PUTNAM,TN,44700,13556,3,0,63,0.46473886102095013
RHEA,TN,44710,5846,2,2,130,2.223742730071844
ROANE,TN,44720,11717,4,2,1512,12.904327046172229
ROBERTSON,TN,44730,8537,2,1,1458,17.078599039475225
RUTHERFORD,TN,44740,21139,3,2,3422,16.188088367472446
SCOTT,TN,44750,4043,3,2,63,1.558248825129854
SEQUATCHIE,TN,44760,1968,1,1,53,2.6930894308943087
SEVIER,TN,44770,14210,5,3,2310,16.25615763546798
SHELBY,TN,44780,113689,9,1,4884,4.295930125166023
SMITH,TN,44790,3084,1,1,273,8.852140077821012
STEWART,TN,44800,2449,1,1,38,1.551653736218865
SULLIVAN,TN,44810,33773,5,3,9213,27.279187516655316
SUMNER,TN,44820,19381,3,1,4447,22.945152468912852
TIPTON,TN,44830,7322,1,1,197,2.690521715378312
TROUSDALE,TN,44840,1190,1,1,180,15.126050420168067
UNICOI,TN,44850,4372,4,3,328,7.502287282708143
UNION,TN,44860,2682,3,3,713,26.584638329604772
VAN BUREN,TN,44870,792,0,0,0,0
WARREN,TN,44880,7631,2,2,480,6.2901323548683
WASHINGTON,TN,44890,22055,4,3,3105,14.078440262978916
WAYNE,TN,44900,2819,0,0,0,0
WEAKLEY,TN,44910,5758,1,0,19,0.32997568600208405
WHITE,TN,44920,5177,0,0,0,0
WILLIAMSON,TN,44930,15567,3,2,2838,18.230873000578146
WILSON,TN,44940,12044,3,1,2752,22.849551643972102
ANDERSON,TX,45000,8304,1,0,32,0.3853564547206166
ANDREWS,TX,45010,1917,0,0,0,0
ANGELINA,TX,45020,13904,3,2,401,2.8840621403912543
ARANSAS,TX,45030,4880,1,1,493,10.102459016393443
ARCHER,TX,45040,1131,0,0,0,0
ARMSTRONG,TX,45050,410,0,0,0,0
ATASCOSA,TX,45060,5207,3,3,713,13.693105434991358
AUSTIN,TX,45070,4561,2,2,65,1.4251260688445517
BAILEY,TX,45080,1115,0,0,0,0
BANDERA,TX,45090,3402,1,1,24,0.7054673721340388
BASTROP,TX,45100,8448,4,2,228,2.6988636363636362
BAYLOR,TX,45110,1028,0,0,0,0
BEE,TX,45113,3810,2,2,75,1.968503937007874
BELL,TX,45120,27491,3,1,7919,28.80579098614092
BEXAR,TX,45130,188073,12,2,48826,25.961195918606073
BLANCO,TX,45140,2713,0,0,0,0
BOSQUE,TX,45160,3913,2,2,775,19.805775619729108
BOWIE,TX,45170,14576,1,0,13,0.08918770581778265
BRAZORIA,TX,45180,29481,5,3,1356,4.5995726060852755
BRAZOS,TX,45190,13458,2,1,688,5.11220092138505
BREWSTER,TX,45200,1477,0,0,0,0
BRISCOE,TX,45201,391,0,0,0,0
BROOKS,TX,45210,1472,0,0,0,0
BROWN,TX,45220,7413,2,1,140,1.8885741265344664
BURLESON,TX,45221,3158,2,2,365,11.557948068397721
BURNET,TX,45222,7531,1,1,555,7.369539237817023
CALDWELL,TX,45223,4717,1,0,16,0.3391986432054272
CALHOUN,TX,45224,3282,1,0,13,0.39609993906154783
CALLAHAN,TX,45230,2599,1,1,37,1.4236244709503656
CAMERON,TX,45240,41891,4,1,1358,3.241746437182211
CAMP,TX,45250,2547,0,0,0,0
CARSON,TX,45251,1114,0,0,0,0
CASS,TX,45260,6677,1,0,13,0.19469821776246818
CHAMBERS,TX,45280,2410,4,3,157,6.514522821576763
CHEROKEE,TX,45281,7163,1,1,63,0.8795197542928941
CHILDRESS,TX,45290,1203,0,0,0,0
CLAY,TX,45291,1522,0,0,0,0
COCHRAN,TX,45292,572,0,0,0,0
COKE,TX,45300,803,0,0,0,0
COLEMAN,TX,45301,2253,2,2,47,2.0861074123391035
COLLIN,TX,45310,41414,7,1,3034,7.326025015695175
COLORADO,TX,45312,3976,1,0,17,0.4275653923541248
COMAL,TX,45320,15823,4,2,1905,12.039436263666815
COMANCHE,TX,45321,2895,0,0,0,0
CONCHO,TX,45330,546,0,0,0,0
COOKE,TX,45340,5899,2,1,85,1.440922190201729
CORYELL,TX,45341,5780,1,1,1247,21.57439446366782
CROCKETT,TX,45361,570,0,0,0,0
CROSBY,TX,45362,1115,0,0,0,0
CULBERSON,TX,45370,381,0,0,0,0
